user_id,churn
$1$c92,1
$1cd7f,1
$1d3a9,1
$1f87d,1
$1fc60,1
$46b4c3,1
$5$57fc,0
$5$7db0,0
$5f67f$,0
$62a347,1
$64874b,1
$64b25,1
$664$c,1
$67f1b,1
$67fc6,1
$6f7a7b,1
$764537,1
$783b3$,0
$8b1,1
$d078a,0
$d16$0,1
$d1bf6,1
$d5516,0
$d567d,1
$d5cfb,1
$d965f,1
$d96d7,1
$da08d,0
$db70d,0
$dd686,1
1$$b0b3,1
1$0c20d,1
1$12$1$f,0
1$12$145,1
1$12$235,1
1$12$5af,0
1$129050,1
1$12b1db,1
1$12cf$b,0
1$12cfc9,1
1$12d67c,1
1$12d7a0,0
1$12d7d3,1
1$12d8d4,1
1$12dc4f,1
1$12dc94,1
1$12df42,0
1$12df64,1
1$25673,1
1$298$0,1
1$2a667,1
1$4$94$,1
1$44$51b,0
1$4416$,1
1$44896$,1
1$448db7,1
1$4491d$,0
1$4496b1,1
1$449b94,1
1$449db8,1
1$44a7f7,1
1$44a8$7,0
1$44ab0c,1
1$44b$bb,1
1$44b26a,1
1$44b39$,1
1$44b62a,1
1$44b8f9,1
1$44b994,1
1$44b9b6,1
1$44bc64,1
1$44bd$d,0
1$44bd87,1
1$44c508,1
1$44c52a,1
1$44ca74,1
1$44cc76,0
1$44cf68,1
1$44d$57,1
1$44d16b,1
1$44d24a,1
1$44d47f,1
1$45$$26,1
1$45$5d8,1
1$45$d$1,0
1$4504fb,0
1$4507ba,1
1$450c8c,1
1$450f8f,1
1$45123$,1
1$451362,1
1$4513fb,0
1$451946,1
1$451c9$,1
1$451cd2,0
1$451d7d,1
1$451d8$,0
1$451da0,0
1$4524db,1
1$452868,0
1$452ca0,1
1$452dd4,1
1$453$d6,1
1$453cf6,0
1$453f0a,1
1$454286,1
1$454589,1
1$454fb6,1
1$454fd8,0
1$455748,1
1$4560a8,0
1$4576f4,1
1$4578a1,1
1$45d7fb,1
1$45d964,0
1$45d9b9,1
1$45dd02,1
1$45f$d2,0
1$45f32c,0
1$45f3c6,1
1$45f5c8,1
1$45f652,1
1$4d75c,1
1$5515f,1
1$5d$$1$,1
1$5d$$74,0
1$5d$010,0
1$5d$0f$,0
1$5d$379,0
1$5d$469,1
1$5d$4b$,1
